mm;mW
0;0.01
0.25;0.01
0.5;0.01
0.75;0.01
1;0.02
1.25;0.02
1.5;0.02
1.75;0.02
2;0.03
2.25;0.03
2.5;0.04
2.75;0.04
3;0.05
3.25;0.05
3.5;0.06
3.75;0.07
4;0.21
4.25;6.70
4.3;8.60
4.35;9.90
4.4;11.30
4.45;12.87
4.5;14.27
4.55;15.44
4.6;16.78
4.65;17.96
4.7;19.00
4.75;20.10
4.8;21.00
4.85;22.00
4.9;22.81
4.95;23.61
5;24.34
5.05;25.02
5.1;25.61
5.15;26.15
5.2;26.64
5.25;27.09
5.3;27.48
5.35;27.84
5.4;28.18
5.45;28.44
5.5;28.70
5.55;28.96
5.6;29.17
5.65;29.32
5.7;29.41
5.75;29.44
