mm;mW
0;0.030
1;0.040
2;0.076
3;0.185
4;0.900
4.25;3.050
4.5;11.700
4.75;19.300
5;20.700
5.1;21.300
5.2;21.760
5.3;22.100
5.4;22.420
5.5;22.700
6;23.770
6.5;24.360
7;24.750
7.5;25.000
8;25.170
8.5;25.300
9;25.360
