mm;mW
0;0.06
1;0.07
2;0.11
2.25;0.12
2.5;0.15
2.75;0.17
3;0.23
3.25;0.30
3.5;0.44
3.75;1.02
3.8;1.42
3.9;2.75
4;4.52
4.1;7.50
4.2;12.50
4.3;17.20
4.4;19.50
4.5;20.22
4.6;21.10
4.7;21.92
4.8;22.34
4.9;22.67
5;23.02
5.25;23.64
5.5;24.10
5.75;24.44
6;24.70
6.25;24.88
6.5;25.04
6.75;25.17
7;25.29
