mm;mW
0;0.044
1;0.048
2;0.066
3;0.115
4;0.262
4.5;0.520
4.75;1.270
5;4.580
5.25;15.700
5.5;20.220
5.75;21.970
6;22.830
6.25;23.500
6.5;23.960
7;24.570
7.5;24.950
8;25.200
8.5;25.370
9;25.480
9.5;25.510
10;25.510
